GT_Lat,GT_Lon,GT_Depth,Est_Lat,Est_Lon,Est_depth
39.83786208872485,-70.89722592291673,10.0,39.83727054220586,-70.89667100819244,nan
39.83786208872485,-70.89691803909777,10.0,39.83793626224695,-70.8970038291977,nan
39.83786208872485,-70.89661015527881,10.0,39.83746176948783,-70.89631749786663,nan
39.83786208872485,-70.89630227145985,10.0,39.83781201641001,-70.89620376471906,nan
39.83786208872485,-70.89599438764088,10.0,39.837226746422836,-70.89526246329196,nan
39.83786208872485,-70.8956865038219,10.0,39.838058456288394,-70.89593932937062,nan
39.83786208872485,-70.89537862000294,10.0,39.83765890893652,-70.89522310533975,nan
39.83786208872485,-70.89507073618398,10.0,39.837953188337885,-70.89496468353944,nan
39.83786208872485,-70.89476285236502,10.0,39.837953188337885,-70.89496468353944,nan
39.838098487483826,-70.90646243748567,10.0,39.838403990285535,-70.90616761551411,nan
39.838098487483826,-70.90615455366671,10.0,39.838722392957436,-70.90544935994272,nan
39.838098487483826,-70.90584666984775,10.0,39.838217155985035,-70.90573121719096,nan
39.838098487483826,-70.90553878602879,10.0,39.83765890893652,-70.90600218451094,nan
39.838098487483826,-70.90523090220981,10.0,39.838058456288394,-70.90528596048007,nan
39.838098487483826,-70.90492301839085,10.0,39.838058456288394,-70.90528596048007,nan
39.838098487483826,-70.90461513457188,10.0,39.838138132221104,-70.90449702654958,nan
39.838098487483826,-70.90430725075292,10.0,39.83847780771644,-70.90395071965614,nan
39.838098487483826,-70.90399936693396,10.0,39.83793626224695,-70.90422146065299,nan
39.838098487483826,-70.903691483115,10.0,39.83821445975911,-70.90381906111128,nan
39.838098487483826,-70.90338359929602,10.0,39.83772654579248,-70.90345218089344,nan
39.838098487483826,-70.90307571547706,10.0,39.83801257894195,-70.9031167558554,nan
39.838098487483826,-70.9027678316581,10.0,39.83782013115811,-70.90289107640065,nan
39.838098487483826,-70.90245994783913,10.0,39.83808621956896,-70.90261044462657,nan
39.838098487483826,-70.90215206402017,10.0,39.838063710594874,-70.90212316834473,nan
39.838098487483826,-70.90184418020121,10.0,39.838308296421715,-70.90167939366577,nan
39.838098487483826,-70.90153629638223,10.0,39.83802354093532,-70.90136518617854,nan
39.838098487483826,-70.90122841256327,10.0,39.83802354093532,-70.90136518617854,nan
39.838098487483826,-70.90092052874431,10.0,39.838238452241264,-70.90092624118559,nan
39.838098487483826,-70.90061264492535,10.0,39.83813419794051,-70.90061264492535,nan
39.838098487483826,-70.90030476110638,10.0,39.838238452241264,-70.9002990486651,nan
39.838098487483826,-70.89999687728742,10.0,39.83802354093532,-70.89986010367215,nan
39.838098487483826,-70.89968899346846,10.0,39.83802354093532,-70.89986010367215,nan
39.838098487483826,-70.89938110964948,10.0,39.83807271104668,-70.89934664204151,nan
39.838098487483826,-70.89907322583052,10.0,39.838063710594874,-70.89910212150595,nan
39.838098487483826,-70.89876534201156,10.0,39.83808621956896,-70.89861484522412,nan
39.838098487483826,-70.8984574581926,10.0,39.83811791138259,-70.89837497566194,nan
39.838098487483826,-70.89814957437363,10.0,39.83823040253654,-70.89807368569458,nan
39.838098487483826,-70.89784169055467,10.0,39.83806616816915,-70.89786712727707,nan
39.838098487483826,-70.8975338067357,10.0,39.83767516366803,-70.89737535888365,nan
39.838098487483826,-70.89722592291673,10.0,39.83821445975911,-70.89740622873941,nan
39.838098487483826,-70.89691803909777,10.0,39.83746176948783,-70.89631749786663,nan
39.838098487483826,-70.89661015527881,10.0,39.838138132221104,-70.89672826330111,nan
39.838098487483826,-70.89630227145985,10.0,39.83781201641001,-70.89620376471906,nan
39.838098487483826,-70.89599438764088,10.0,39.838058456288394,-70.89593932937062,nan
39.838098487483826,-70.8956865038219,10.0,39.838699172202695,-70.89646075984345,nan
39.838098487483826,-70.89537862000294,10.0,39.837953188337885,-70.89496468353944,nan
39.838098487483826,-70.89507073618398,10.0,39.837953188337885,-70.89496468353944,nan
39.838098487483826,-70.89476285236502,10.0,39.83743008540468,-70.89391559663576,nan
39.838334886242805,-70.90646243748567,10.0,39.838127940896385,-70.90679033017462,nan
39.838334886242805,-70.90615455366671,10.0,39.838403990285535,-70.90616761551411,nan
39.838334886242805,-70.90584666984775,10.0,39.837953188337885,-70.90626060631125,nan
39.838334886242805,-70.90553878602879,10.0,39.838434905726686,-70.90529451843105,nan
39.838334886242805,-70.90523090220981,10.0,39.838699172202695,-70.90476453000724,nan
39.838334886242805,-70.90492301839085,10.0,39.83827171946533,-70.90490366733881,nan
39.838334886242805,-70.90461513457188,10.0,39.83781201641001,-70.90502152513162,nan
39.838334886242805,-70.90430725075292,10.0,39.838138132221104,-70.90449702654958,nan
39.838334886242805,-70.90399936693396,10.0,39.83793626224695,-70.90422146065299,nan
39.838334886242805,-70.903691483115,10.0,39.83821445975911,-70.90381906111128,nan
39.838334886242805,-70.90338359929602,10.0,39.83796312121188,-70.90365227239971,nan
39.838334886242805,-70.90307571547706,10.0,39.83830628101311,-70.90305617140172,nan
39.838334886242805,-70.9027678316581,10.0,39.83825589327177,-70.90283142627565,nan
39.838334886242805,-70.90245994783913,10.0,39.83808621956896,-70.90261044462657,nan
39.838334886242805,-70.90215206402017,10.0,39.83851879139631,-70.90215423009647,nan
39.838334886242805,-70.90184418020121,10.0,39.83836991310074,-70.90184392862399,nan
39.838334886242805,-70.90153629638223,10.0,39.83842635311489,-70.90147669745377,nan
39.838334886242805,-70.90122841256327,10.0,39.83835175989103,-70.90113789650964,nan
39.838334886242805,-70.90092052874431,10.0,39.838238452241264,-70.90092624118559,nan
39.838334886242805,-70.90061264492535,10.0,39.8387548170712,-70.90061264492535,nan
39.838334886242805,-70.90030476110638,10.0,39.838238452241264,-70.9002990486651,nan
39.838334886242805,-70.89999687728742,10.0,39.83827436387147,-70.90003379705921,nan
39.838334886242805,-70.89968899346846,10.0,39.83842635311489,-70.89974859239692,nan
39.838334886242805,-70.89938110964948,10.0,39.83829802142574,-70.89931580000213,nan
39.838334886242805,-70.89907322583052,10.0,39.83851879139631,-70.89907105975422,nan
