mmsi,base_date_time,longitude,latitude,sog,cog,heading,vessel_name,imo,call_sign,vessel_type,status,length,width,draft,cargo,transceiver
636018800,2025-01-01 04:23:02,-73.98083,38.49738,11.0,12.4,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:24:20,-73.97972,38.50134,11.0,12.2,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:25:41,-73.97857,38.50541,11.1,12.7,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:28:10,-73.97643,38.51287,11.0,12.2,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:29:11,-73.97557,38.51588,11.0,12.4,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:30:20,-73.9746,38.51936,11.0,12.0,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:31:51,-73.97329,38.52389,11.0,12.7,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:33:10,-73.97213,38.52783,10.9,12.8,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:35:51,-73.9698,38.53581,11.0,12.7,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:37:42,-73.96817,38.54126,10.9,13.1,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:38:50,-73.96715,38.54468,10.9,12.9,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:40:20,-73.96588,38.54914,10.9,12.5,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:41:22,-73.96501,38.55209,10.9,12.8,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:42:31,-73.96402,38.55553,10.8,12.3,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:43:42,-73.96306,38.55903,10.8,11.6,9,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:44:51,-73.96221,38.56239,10.8,11.1,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:46:01,-73.96129,38.56591,10.9,11.5,11,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:47:12,-73.96035,38.56941,10.9,11.8,11,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:48:31,-73.95931,38.57333,10.9,11.6,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:49:32,-73.95853,38.57638,10.9,11.4,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:50:40,-73.95763,38.57978,11.0,11.3,11,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:51:41,-73.95681,38.58287,11.0,11.6,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:52:51,-73.95589,38.58629,11.0,11.7,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:54:12,-73.95479,38.59039,11.0,11.7,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:55:21,-73.9539,38.59382,11.0,11.7,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
